City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Kloulklubed,PW,75.2,broken clouds,7.0419,134.2556,Storyboard Beach Resort
Le Port,RE,77.0,broken clouds,-20.9373,55.2919,Villa Maido
Sao Filipe,CV,76.62,clear sky,14.8961,-24.4956,Tortuga B&B
Berberati,CF,75.42,broken clouds,4.2612,15.7922,Prince Virgile ASSOMO-MOMORI
Bentiu,SS,87.48,scattered clouds,9.2333,29.8333,Mandela hôtel
Weligama,LK,76.51,broken clouds,5.9667,80.4167,Weligama Bay Resort
General Roca,AR,78.8,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
Sao Jose Da Coroa Grande,BR,78.98,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
Kpandae,GH,87.87,overcast clouds,8.4689,-0.0113,S. Amaski Guest House
Gurupa,BR,76.96,moderate rain,-1.405,-51.64,Residencial DWD
Puerto Carreno,CO,84.04,moderate rain,6.189,-67.4859,Casa Hotel Victoria
Cerrito,CO,80.6,broken clouds,6.8432,-72.694,Yariseth juliana
Harper,LR,80.26,overcast clouds,4.375,-7.7169,Screensaver
Karratha,AU,81.21,clear sky,-20.7377,116.8463,ibis Styles Karratha
Hobyo,SO,82.24,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
Ko Samui,TH,83.73,light rain,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
Santa Cruz,BO,84.2,light rain,-17.8,-63.1667,Aviador Hotel Boutique
Porangatu,BR,80.65,broken clouds,-13.4408,-49.1486,Wembley Park Hotel
Kribi,CM,81.39,overcast clouds,2.95,9.9167,Les Vagues bleues
Samarai,PG,81.55,overcast clouds,-10.6167,150.6667,Nuli Sapi
Bandarbeyla,SO,78.26,few clouds,9.4942,50.8122,JABIR HOTEL
Vitoria,BR,80.01,few clouds,-20.3194,-40.3378,Hotel Prata
Lodwar,KE,87.04,overcast clouds,3.1191,35.5973,Turkwel Lodge
Sur,OM,81.25,clear sky,22.5667,59.5289,Sur Plaza Hotel
Sokoni,TZ,78.8,few clouds,-6.4333,39.55,Ujamaa Beach Resort
Howard Springs,AU,78.8,broken clouds,-12.497,131.047,buffalo beach hostel
Mecca,SA,79.11,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
Merauke,ID,77.85,overcast clouds,-8.4667,140.3333,PC
